Overall,Name,Times Drafted,Std. Dev,High,Low,age,all_td,fumbles,fumbles_lost,g,gs,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rec,rec_td,rec_yds,rec_yds_per_rec,rush_att,rush_td,rush_yds,rush_yds_per_att,targets,two_pt_md,two_pt_pass,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,Position_DEF,Position_PK,Position_QB,Position_RB,Position_TE,Position_WR,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_FA,Team_GB,Team_HOU,Team_IND,Team_JAX,Team_KC,Team_LAC,Team_LAR,Team_LV,Team_MIA,Team_MIN,Team_NE,Team_NO,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SF,Team_TB,Team_TEN,Team_WAS
1.9,Saquon Barkley,185,0.8,1,4,21.0,15.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,91.0,4.0,721.0,7.92,261.0,11.0,1307.0,5.01,121.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.4,Alvin Kamara,90,0.8,1,4,23.0,18.0,1.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,81.0,4.0,709.0,8.75,194.0,14.0,883.0,4.55,105.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3.6,Christian McCaffrey,112,1.1,1,6,22.0,13.0,4.0,1.0,16.0,16.0,1.0,1.0,0.0,1.0,50.0,107.0,6.0,867.0,8.1,219.0,7.0,1098.0,5.01,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.8,Ezekiel Elliott,67,1.0,1,6,23.0,9.0,6.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,567.0,7.36,304.0,6.0,1434.0,4.72,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,James Conner,79,1.6,1,12,23.0,13.0,4.0,2.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,497.0,9.04,215.0,12.0,973.0,4.53,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.1,DeAndre Hopkins,105,1.8,1,12,26.0,11.0,2.0,2.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,115.0,11.0,1572.0,13.67,1.0,0.0,-7.0,-7.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2,LeVeon Bell,88,2.1,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.2,Nick Chubb,105,2.0,4,15,23.0,10.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,149.0,7.45,192.0,8.0,996.0,5.19,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,Davante Adams,108,2.0,4,16,26.0,13.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,111.0,13.0,1386.0,12.49,0.0,0.0,0.0,0.0,169.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.6,Dalvin Cook,115,2.1,5,15,23.0,4.0,2.0,2.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,305.0,7.63,133.0,2.0,615.0,4.62,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10.9,Julio Jones,93,2.1,5,16,29.0,8.0,2.0,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,113.0,8.0,1677.0,14.84,2.0,0.0,12.0,6.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.4,Todd Gurley,117,2.3,6,18,24.0,21.0,1.0,1.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,59.0,4.0,580.0,9.83,256.0,17.0,1251.0,4.89,81.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.9,Tyreek Hill,120,2.4,6,17,24.0,14.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,87.0,12.0,1479.0,17.0,22.0,1.0,151.0,6.86,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.9,Michael Thomas,127,2.2,7,19,25.0,9.0,2.0,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,125.0,9.0,1405.0,11.24,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14.2,David Johnson,225,4.4,5,27,27.0,10.0,3.0,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,446.0,8.92,258.0,7.0,940.0,3.64,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.9,Odell Beckham Jr,149,2.2,10,21,26.0,6.0,2.0,1.0,12.0,12.0,2.0,2.0,0.0,2.0,106.0,77.0,6.0,1052.0,13.66,5.0,0.0,19.0,3.8,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.9,JuJu Smith-Schuster,125,2.3,11,22,22.0,7.0,1.0,1.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,111.0,7.0,1426.0,12.85,1.0,0.0,13.0,13.0,166.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16.4,Patrick Mahomes,94,7.1,1,27,23.0,2.0,9.0,2.0,16.0,16.0,580.0,383.0,12.0,50.0,5097.0,0.0,0.0,0.0,0.0,60.0,2.0,272.0,4.53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.4,Joe Mixon,119,3.4,7,23,22.0,9.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,296.0,6.88,237.0,8.0,1168.0,4.93,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.8,Travis Kelce,114,3.5,8,24,29.0,10.0,2.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,103.0,10.0,1336.0,12.97,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.3,Leonard Fournette,111,2.7,13,27,23.0,6.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,185.0,8.41,133.0,5.0,439.0,3.3,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,Mike Evans,133,2.0,16,28,25.0,9.0,2.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,86.0,8.0,1524.0,17.72,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22.9,Chris Carson,127,3.0,15,30,24.0,9.0,3.0,2.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,163.0,8.15,247.0,9.0,1151.0,4.66,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.3,Antonio Brown,129,3.0,15,30,30.0,15.0,0.0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,0.0,104.0,15.0,1297.0,12.47,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24.6,Damien Williams,66,3.0,17,34,26.0,6.0,1.0,1.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,160.0,6.96,50.0,4.0,256.0,5.12,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,Aaron Jones,112,3.7,15,33,24.0,9.0,1.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,206.0,7.92,133.0,8.0,728.0,5.47,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,Adam Thielen,109,2.7,18,32,28.0,9.0,1.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,113.0,9.0,1373.0,12.15,5.0,0.0,30.0,6.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27.8,Keenan Allen,91,2.5,21,35,26.0,6.0,3.0,1.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,97.0,6.0,1196.0,12.33,9.0,0.0,75.0,8.33,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,Josh Jacobs,79,3.7,18,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,Kerryon Johnson,131,3.2,20,38,21.0,4.0,1.0,1.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,213.0,6.66,118.0,3.0,641.0,5.43,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.1,David Montgomery,103,3.3,20,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.1,George Kittle,100,5.0,18,43,25.0,5.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,88.0,5.0,1377.0,15.65,1.0,0.0,10.0,10.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31.7,Devonta Freeman,164,3.6,22,39,26.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,23.0,4.6,14.0,0.0,68.0,4.86,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.8,Sony Michel,153,3.0,25,44,23.0,6.0,1.0,1.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,50.0,7.14,209.0,6.0,931.0,4.45,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33.9,Amari Cooper,134,4.4,22,44,24.0,7.0,2.0,2.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,75.0,7.0,1005.0,13.4,2.0,0.0,20.0,10.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.4,Derrick Henry,124,5.0,22,48,24.0,12.0,1.0,1.0,16.0,12.0,3.0,2.0,0.0,0.0,14.0,15.0,0.0,99.0,6.6,215.0,12.0,1059.0,4.93,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36.6,Stefon Diggs,109,3.9,26,45,25.0,9.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,102.0,9.0,1021.0,10.01,10.0,0.0,62.0,6.2,149.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37.3,Zach Ertz,105,4.5,25,48,28.0,8.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,116.0,8.0,1163.0,10.03,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37.5,Mark Ingram,117,3.5,28,48,29.0,7.0,3.0,1.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,170.0,8.1,138.0,6.0,645.0,4.67,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.9,Brandin Cooks,115,3.9,28,47,25.0,6.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,80.0,5.0,1204.0,15.05,10.0,1.0,68.0,6.8,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.3,Melvin Gordon,60,5.6,25,50,25.0,14.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,490.0,9.8,175.0,10.0,885.0,5.06,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.5,Marlon Mack,134,4.2,30,53,22.0,10.0,2.0,2.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,103.0,6.06,195.0,9.0,908.0,4.66,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.7,Deshaun Watson,65,7.3,23,54,23.0,5.0,9.0,3.0,16.0,16.0,505.0,345.0,9.0,26.0,4165.0,0.0,0.0,0.0,0.0,99.0,5.0,551.0,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.5,Tyler Lockett,119,3.1,34,50,26.0,10.0,2.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,57.0,10.0,965.0,16.93,13.0,0.0,69.0,5.31,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43.3,Chris Godwin,76,4.0,32,54,22.0,7.0,4.0,1.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,59.0,7.0,842.0,14.27,0.0,0.0,0.0,0.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44.0,Robert Woods,100,3.5,34,51,26.0,7.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,86.0,6.0,1219.0,14.17,19.0,1.0,157.0,8.26,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
