age,all_td,fumbles,fumbles_lost,g,gs,pass_att,pass_cmp,pass_int,pass_td,pass_yds,player,pos,rec,rec_td,rec_yds,rec_yds_per_rec,rush_att,rush_td,rush_yds,rush_yds_per_att,targets,two_pt_md,two_pt_pass
22,3,2,1,8,7,0,0,0,0,0,Preston Williams,WR,32,3,428,13.38,0,0,0,,60,,
21,1,1,1,13,0,0,0,0,0,0,Alexander Mattison,RB,10,0,82,8.20,100,1,462,4.62,12,,
25,2,0,0,16,10,0,0,0,0,0,Marquez Valdes-Scantling,WR,26,2,452,17.38,2,0,9,4.50,56,,
26,5,0,0,14,1,0,0,0,0,0,Malcolm Brown ,RB,2,0,16,8.00,69,5,255,3.70,6,,
26,1,1,0,3,3,105,62,4,4,685,Jeff Driskel,QB,1,0,6,6.00,22,1,151,6.86,1,,
24,3,0,0,12,2,0,0,0,0,0,Brian Hill,RB,10,1,69,6.90,78,2,323,4.14,14,,
23,2,1,1,14,4,5,4,1,0,35,Jaylen Samuels,RB,47,1,305,6.49,66,1,175,2.65,57,,
25,4,0,0,15,6,0,0,0,0,0,Tajae Sharpe,WR,25,4,329,13.16,0,0,0,,35,,
26,3,0,0,11,2,0,0,0,0,0,Eric Ebron,TE,31,3,375,12.10,0,0,0,,52,,
34,2,0,0,16,9,0,0,0,0,0,Ted Ginn Jr.,WR,30,2,421,14.03,3,0,18,6.00,56,,
26,3,2,1,11,10,0,0,0,0,0,Nelson Agholor,WR,39,3,363,9.31,2,0,7,3.50,69,1,
28,4,0,0,16,6,0,0,0,0,0,Cameron Brate,TE,36,4,311,8.64,0,0,0,,55,,
26,3,0,0,16,1,0,0,0,0,0,Keelan Cole,WR,24,3,361,15.04,1,0,6,6.00,35,,
25,3,1,0,16,7,0,0,0,0,0,Blake Jarwin,TE,31,3,365,11.77,0,0,0,,41,,
21,2,1,1,13,2,0,0,0,0,0,Benny Snell Jr.,RB,3,0,23,7.67,108,2,426,3.94,4,,
27,2,0,0,16,9,0,0,0,0,0,Jordan Akins,TE,36,2,418,11.61,0,0,0,,55,,
24,1,1,0,5,5,174,94,6,4,984,David Blough,QB,1,1,19,19.00,8,0,31,3.88,1,,
38,0,3,1,4,4,147,91,5,6,1042,Eli Manning ,QB,0,0,0,,4,0,7,1.75,0,,
27,0,4,2,16,6,1,1,0,0,26,Alex Erickson ,WR,43,0,529,12.30,5,0,33,6.60,78,,
25,2,0,0,13,2,0,0,0,0,0,Gerald Everett,TE,37,2,408,11.03,1,0,0,0.00,60,,
26,3,0,0,11,3,0,0,0,0,0,Jacob Hollister,TE,41,3,349,8.51,0,0,0,,59,,
,,,,,,,,,,,,,,,,,,,,,,,
23,5,0,0,11,6,0,0,0,0,0,Tre'Quan Smith,WR,18,5,234,13.00,0,0,0,,25,,
24,4,1,1,12,0,0,0,0,0,0,Darrel Williams,RB,15,1,167,11.13,41,3,141,3.44,19,,
28,2,1,1,14,7,0,0,0,0,0,Allen Hurns,WR,32,2,416,13.00,0,0,0,,47,,
23,2,0,0,15,11,0,0,0,0,0,Dawson Knox,TE,28,2,388,13.86,1,0,9,9.00,50,,
29,0,1,0,11,0,0,0,0,0,0,Chris Thompson,RB,42,0,378,9.00,37,0,138,3.73,58,,
23,4,1,0,6,6,0,0,0,0,0,Will Dissly,TE,23,4,262,11.39,1,0,7,7.00,27,,
23,0,5,1,8,6,160,100,8,5,1063,Devlin Hodges ,QB,0,0,0,,21,0,68,3.24,0,,
23,1,1,1,16,4,0,0,0,0,0,Russell Gage,WR,49,1,446,9.10,4,0,12,3.00,74,,
22,3,0,0,5,1,0,0,0,0,0,Derrius Guice,RB,7,1,79,11.29,42,2,245,5.83,9,,
25,1,1,1,14,14,0,0,0,0,0,O.J. Howard ,TE,34,1,459,13.50,0,0,0,,53,,
26,2,1,0,12,3,0,0,0,0,0,Adam Humphries,WR,37,2,374,10.11,1,0,1,1.00,47,,
26,1,0,0,16,3,0,0,0,0,0,J.D. McKissic,RB,34,1,233,6.85,38,0,205,5.39,42,,
22,2,0,0,12,7,0,0,0,0,0,T.J. Hockenson ,TE,32,2,367,11.47,0,0,0,,59,,
32,1,0,0,11,10,0,0,0,0,0,Demaryius Thomas,WR,36,1,433,12.03,0,0,0,,58,,
22,3,0,0,16,6,0,0,0,0,0,Olabisi Johnson,WR,31,3,294,9.48,1,0,6,6.00,45,,
24,3,0,0,16,2,0,0,0,0,0,Mike Boone,RB,3,0,17,5.67,49,3,273,5.57,4,,
28,1,0,0,11,7,1,0,1,0,0,Josh Gordon,WR,27,1,426,15.78,1,0,1,1.00,47,,
26,2,0,0,16,4,0,0,0,0,0,Hayden Hurst,TE,30,2,349,11.63,0,0,0,,39,,
22,5,0,0,13,7,0,0,0,0,0,Foster Moreau,TE,21,5,174,8.29,0,0,0,,25,,
26,0,2,0,16,0,0,0,0,0,0,Jalen Richard,RB,36,0,323,8.97,39,0,145,3.72,43,,
25,2,0,0,14,1,0,0,0,0,0,Jordan Wilkins,RB,7,0,43,6.14,51,2,307,6.02,11,,
29,3,1,0,14,14,0,0,0,0,0,Vance McDonald,TE,38,3,273,7.18,1,0,2,2.00,55,,
27,1,0,0,13,4,2,1,0,0,20,Albert Wilson,WR,43,1,351,8.16,5,0,45,9.00,62,,
24,1,0,0,15,4,0,0,0,0,0,Patrick Laird,RB,23,0,204,8.87,62,1,168,2.71,30,1,
24,4,1,1,14,3,0,0,0,0,0,Ricky Seals-Jones,TE,14,4,229,16.36,0,0,0,,22,,
22,3,2,0,9,6,0,0,0,0,0,Kaden Smith,TE,31,3,268,8.65,0,0,0,,42,,
26,2,0,0,16,15,0,0,0,0,0,Nick Boyle,TE,31,2,321,10.35,0,0,0,,43,,
24,5,0,0,10,0,0,0,0,0,0,Jeff Wilson,RB,3,1,34,11.33,27,4,105,3.89,5,,
24,2,2,1,14,1,0,0,0,0,0,David Moore,WR,17,2,301,17.71,3,0,25,8.33,34,,
21,2,1,0,16,7,0,0,0,0,0,Irv Smith Jr.,TE,36,2,311,8.64,0,0,0,,47,,
,,,,,,,,,,,,,,,,,,,,,,,
29,4,0,0,15,2,0,0,0,0,0,Brandon Bolden,RB,9,1,111,12.33,15,3,68,4.53,11,,
22,2,0,0,16,0,0,0,0,0,0,Justice Hill,RB,8,0,70,8.75,58,2,225,3.88,15,,
27,2,0,0,15,10,0,0,0,0,0,Cody Latimer,WR,24,2,300,12.50,0,0,0,,42,,
35,0,2,0,6,2,91,59,0,4,659,Matt Moore,QB,0,0,0,,5,0,-1,-0.20,0,,
23,1,1,1,6,5,0,0,0,0,0,Bo Scarbrough,RB,1,0,5,5.00,89,1,377,4.24,4,,
25,2,2,1,16,6,0,0,0,0,0,Geronimo Allison,WR,34,2,287,8.44,1,0,7,7.00,55,1,
29,3,0,0,16,11,0,0,0,0,0,Josh Hill,TE,25,3,226,9.04,0,0,0,,35,,
29,1,1,1,16,1,0,0,0,0,0,Dion Lewis,RB,25,1,164,6.56,54,0,209,3.87,32,,
24,1,0,0,16,2,0,0,0,0,0,Josh Reynolds,WR,21,1,326,15.52,5,0,23,4.60,43,,
26,1,1,1,11,3,0,0,0,0,0,Damiere Byrd ,WR,32,1,359,11.22,0,0,0,,46,,
25,2,0,0,8,6,0,0,0,0,0,Marcus Johnson,WR,17,2,277,16.29,0,0,0,,33,,
25,2,2,1,16,0,0,0,0,0,0,Dare Ogunbowale,RB,35,0,286,8.17,11,2,17,1.55,46,,
28,2,0,0,16,0,0,0,0,0,0,Seth Roberts ,WR,21,2,271,12.90,0,0,0,,35,,
24,3,0,0,12,6,0,0,0,0,0,Kalen Ballage,RB,14,0,63,4.50,74,3,135,1.82,24,,
28,0,2,1,16,2,0,0,0,0,0,Giovani Bernard,RB,30,0,234,7.80,53,0,170,3.21,43,,
23,3,0,0,16,11,0,0,0,0,0,Miles Boykin,WR,13,3,198,15.23,0,0,0,,22,,
30,0,2,2,4,4,117,77,2,3,736,Nick Foles,QB,0,0,0,,4,0,23,5.75,0,,1
23,2,0,0,16,1,0,0,0,0,0,Ryquell Armstead,RB,14,2,144,10.29,35,0,108,3.09,24,,
25,3,1,1,10,2,0,0,0,0,0,Wayne Gallman,RB,11,1,102,9.27,29,2,110,3.79,15,,
23,0,0,0,16,8,1,1,0,0,11,Kelvin Harmon,WR,30,0,365,12.17,0,0,0,,44,,
27,2,0,0,10,6,0,0,0,0,0,Paul Richardson ,WR,28,2,245,8.75,1,0,0,0.00,42,,
24,1,0,0,16,2,0,0,0,0,0,DaeSean Hamilton,WR,28,1,297,10.61,0,0,0,,52,,
22,0,1,1,16,1,0,0,0,0,0,Ty Johnson,RB,24,0,109,4.54,63,0,273,4.33,31,,
24,1,0,0,15,8,0,0,0,0,0,Isaiah McKenzie,WR,27,1,254,9.41,8,0,49,6.13,39,,
23,0,0,0,15,1,0,0,0,0,0,Jakobi Meyers,WR,26,0,359,13.81,0,0,0,,41,,
26,2,0,0,16,16,0,0,0,0,0,C.J. Uzomah,TE,27,2,242,8.96,0,0,0,,40,,
28,3,0,0,15,6,0,0,0,0,0,Demetrius Harris,TE,15,3,149,9.93,0,0,0,,27,1,
25,1,0,0,9,1,0,0,0,0,0,Jonathan Williams,RB,5,0,59,11.80,49,1,235,4.80,5,,
29,2,1,0,14,0,0,0,0,0,0,Tavon Austin,WR,13,1,177,13.62,6,1,47,7.83,24,,
35,2,1,0,7,4,0,0,0,0,0,Delanie Walker,TE,21,2,215,10.24,0,0,0,,31,,
,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,3,3,84,39,2,3,515,Brandon Allen,QB,0,0,0,,10,0,39,3.90,0,,
26,1,0,0,9,0,0,0,0,0,0,Marvin Hall,WR,7,1,261,37.29,1,0,7,7.00,11,,
38,0,1,1,6,1,67,50,1,3,580,Matt Schaub,QB,0,0,0,,3,0,-3,-1.00,0,,1
29,2,1,1,14,4,0,0,0,0,0,Jaron Brown,WR,16,2,220,13.75,0,0,0,,28,,
23,1,1,1,13,4,0,0,0,0,0,Vyncint Smith,WR,17,0,225,13.24,3,1,52,17.33,31,,
24,1,0,0,7,3,0,0,0,0,0,Greg Ward,WR,28,1,254,9.07,1,0,5,5.00,40,,
24,1,0,0,13,1,0,0,0,0,0,Pharoh Cooper,WR,25,1,243,9.72,1,0,2,2.00,33,,
22,1,1,1,9,4,0,0,0,0,0,Keke Coutee,WR,22,0,254,11.55,2,1,14,7.00,36,,
28,1,0,0,12,12,0,0,0,0,0,Kyle Juszczyk,RB,20,1,239,11.95,3,0,7,2.33,24,,
23,1,0,0,15,3,0,0,0,0,0,Malik Turner,WR,15,1,245,16.33,0,0,0,,22,,
30,1,0,0,15,10,0,0,0,0,0,Charles Clay,TE,18,1,237,13.17,0,0,0,,24,,
23,4,1,0,8,0,0,0,0,0,0,Qadree Ollison,RB,1,0,7,7.00,22,4,50,2.27,2,,
25,2,2,1,12,6,0,0,0,0,0,Chester Rogers,WR,16,2,179,11.19,1,0,18,18.00,28,,
25,1,1,0,16,13,0,0,0,0,0,Jeremy Sprinkle,TE,26,1,241,9.27,0,0,0,,40,,
30,0,0,0,16,9,0,0,0,0,0,Jarius Wright,WR,28,0,296,10.57,1,0,-7,-7.00,58,,
33,2,0,0,3,3,0,0,0,0,0,DeSean Jackson,WR,9,2,159,17.67,0,0,0,,10,,
27,1,0,0,14,4,0,0,0,0,0,Jake Kumerow,WR,12,1,219,18.25,0,0,0,,21,,
22,1,0,0,10,2,0,0,0,0,0,Scott Miller ,WR,13,1,200,15.38,2,0,16,8.00,26,,
24,2,0,0,16,2,0,0,0,0,0,Justin Watson,WR,15,2,159,10.60,0,0,0,,26,,
27,2,2,1,10,2,0,0,0,0,0,Jakeem Grant,WR,19,0,164,8.63,4,1,5,1.25,33,,
22,2,0,0,7,5,0,0,0,0,0,N'Keal Harry ,WR,12,2,105,8.75,5,0,49,9.80,24,,
27,2,0,0,5,5,0,0,0,0,0,James O'Shaughnessy,TE,14,2,153,10.93,0,0,0,,20,,
22,0,1,1,7,4,0,0,0,0,0,Mark Walton,RB,15,0,89,5.93,53,0,201,3.79,21,,
33,0,0,0,3,1,64,45,2,3,435,Chase Daniel,QB,0,0,0,,6,0,6,1.00,0,,
24,1,0,0,15,1,0,0,0,0,0,Anthony Firkser,TE,14,1,204,14.57,0,0,0,,24,,
23,0,0,0,8,0,0,0,0,0,0,Isaiah Ford,WR,23,0,244,10.61,1,0,11,11.00,35,,
29,1,0,0,9,6,0,0,0,0,0,Marquise Goodwin,WR,12,1,186,15.50,1,0,15,15.00,21,,
24,2,2,0,14,0,0,0,0,0,0,Dontrell Hilliard,RB,12,0,92,7.67,13,2,49,3.77,15,,
23,1,0,0,15,1,0,0,0,0,0,Andy Isabella,WR,9,1,189,21.00,4,0,15,3.75,13,,
31,0,0,0,13,1,1,0,0,0,0,Bilal Powell,RB,7,0,33,4.71,59,0,229,3.88,12,,
,,,,,,,,,,,,,,,,,,,,,,,
24,1,1,1,12,6,0,0,0,0,0,Trey Quinn,WR,26,1,198,7.62,0,0,0,,47,1,
24,1,0,0,13,3,0,0,0,0,0,Damion Ratley,WR,12,1,200,16.67,0,0,0,,24,,
25,1,0,0,16,10,0,0,0,0,0,Maxx Williams,TE,15,1,202,13.47,0,0,0,,19,,
24,2,0,0,5,1,0,0,0,0,0,Dan Arnold,TE,8,2,127,15.88,0,0,0,,14,,
25,0,4,3,3,3,87,41,2,2,474,Ryan Finley,QB,0,0,0,,10,0,77,7.70,0,,
23,1,1,1,10,4,0,0,0,0,0,KeeSean Johnson,WR,21,1,187,8.90,1,0,3,3.00,42,1,
28,1,0,0,16,4,0,0,0,0,0,Cordarrelle Patterson,WR,11,0,83,7.55,17,0,103,6.06,17,,
24,1,0,0,7,0,0,0,0,0,0,Ito Smith,RB,11,0,87,7.91,22,1,106,4.82,14,,
25,1,0,0,16,6,0,0,0,0,0,Javon Wims,WR,18,1,186,10.33,0,0,0,,39,,
26,1,1,1,16,0,0,0,0,0,0,Ameer Abdullah,RB,15,1,88,5.87,23,0,115,5.00,21,,
22,1,0,0,7,0,0,0,0,0,0,Myles Gaskin,RB,7,0,51,7.29,36,1,133,3.69,12,,
24,2,0,0,11,4,1,1,0,0,16,Dante Pettis,WR,11,2,109,9.91,0,0,0,,24,,
24,1,0,0,13,1,0,0,0,0,0,Laquon Treadwell,WR,9,1,184,20.44,0,0,0,,16,,
22,2,0,0,10,0,0,0,0,0,0,Olamide Zaccheaus,WR,3,1,115,38.33,0,0,0,,5,,
23,1,0,0,16,5,0,0,0,0,0,JJ Arcega-Whiteside,WR,10,1,169,16.90,0,0,0,,22,,
23,1,0,0,16,0,0,0,0,0,0,Reggie Bonnafon,RB,6,0,57,9.50,16,1,116,7.25,9,,
31,1,0,0,10,7,0,0,0,0,0,Rhett Ellison,TE,18,1,167,9.28,0,0,0,,28,,
28,0,0,0,8,2,0,0,0,0,0,Bennie Fowler,WR,23,0,193,8.39,1,0,20,20.00,36,1,
26,1,0,0,16,0,0,0,0,0,0,Byron Pringle,WR,12,1,170,14.17,0,0,0,,16,,
23,1,0,0,12,0,0,0,0,0,0,Darwin Thompson,RB,9,0,43,4.78,37,1,128,3.46,10,,
28,1,0,0,16,3,0,0,0,0,0,Logan Thomas,TE,16,1,173,10.81,0,0,0,,28,,
26,1,0,0,4,3,0,0,0,0,0,Duke Williams,WR,12,1,166,13.83,0,0,0,,19,,
24,0,0,0,7,0,0,0,0,0,0,Justin Jackson,RB,9,0,22,2.44,29,0,200,6.90,11,,
24,0,0,0,15,9,0,0,0,0,0,Zay Jones ,WR,27,0,216,8.00,1,0,3,3.00,45,,
35,1,0,0,16,11,0,0,0,0,0,Marcedes Lewis,TE,15,1,156,10.40,0,0,0,,19,,
26,0,0,0,8,2,0,0,0,0,0,Tim Patrick,WR,16,0,218,13.63,0,0,0,,31,,
24,2,0,0,16,6,0,0,0,0,0,Ross Dwelley,TE,15,2,91,6.07,0,0,0,,22,,
24,1,0,0,16,0,0,0,0,0,0,Jaeden Graham,TE,9,1,149,16.56,0,0,0,,10,,
26,1,1,1,16,7,0,0,0,0,0,C.J. Ham,RB,17,1,149,8.76,7,0,17,2.43,26,,
34,0,2,1,4,1,65,35,4,4,372,Brian Hoyer,QB,0,0,0,,8,0,2,0.25,0,,
,,,,,,,,,,,,,,,,,,,,,,,
25,1,1,1,8,1,0,0,0,0,0,Kalif Raymond,WR,9,1,170,18.89,1,0,-5,-5.00,12,,
22,1,3,1,7,3,0,0,0,0,0,Parris Campbell,WR,18,1,127,7.06,4,0,34,8.50,24,,
29,1,0,0,16,4,0,0,0,0,0,Derek Carrier,TE,13,1,108,8.31,1,0,27,27.00,19,,
26,1,3,2,14,4,0,0,0,0,0,Trevor Davis,WR,8,0,111,13.88,4,1,73,18.25,11,,
28,0,0,0,16,1,0,0,0,0,0,Justin Hardy ,WR,19,0,195,10.26,0,0,0,,26,,
24,1,1,1,16,1,0,0,0,0,0,Richie James,WR,6,1,165,27.50,2,0,-1,-0.50,10,,
23,1,0,0,16,3,0,0,0,0,0,Ian Thomas,TE,16,1,136,8.50,0,0,0,,30,,
27,1,0,0,11,8,0,0,0,0,0,Matt LaCosse,TE,13,1,131,10.08,0,0,0,,19,,
26,0,0,0,16,2,0,0,0,0,0,Ty Montgomery,RB,13,0,90,6.92,32,0,103,3.22,17,,
25,1,1,1,9,0,0,0,0,0,0,C.J. Prosise,RB,10,0,76,7.60,23,1,72,3.13,12,,
35,1,0,0,4,1,0,0,0,0,0,Vernon Davis ,TE,10,1,123,12.30,0,0,0,,19,,
22,0,0,0,13,0,0,0,0,0,0,Darrell Henderson,RB,4,0,37,9.25,39,0,147,3.77,6,,
30,0,0,0,7,1,0,0,0,0,0,Dontrelle Inman,WR,12,0,181,15.08,0,0,0,,21,,
22,0,1,0,6,3,109,58,5,1,567,Josh Rosen,QB,0,0,0,,3,0,13,4.33,0,,
27,1,0,0,14,11,0,0,0,0,0,Jeff Heuerman,TE,14,1,114,8.14,0,0,0,,20,,
21,0,0,0,16,1,0,0,0,0,0,Travis Homer,RB,11,0,56,5.09,18,0,114,6.33,13,,
24,1,0,0,6,4,0,0,0,0,0,Ryan Izzo,TE,6,1,114,19.00,0,0,0,,9,,
29,1,0,0,2,1,37,21,1,0,225,A.J. McCarron,QB,0,0,0,,5,1,39,7.80,0,,
30,0,2,2,2,2,89,50,1,0,572,Cam Newton,QB,0,0,0,,5,0,-2,-0.40,0,,
27,1,1,0,12,5,0,0,0,0,0,Nick O'Leary,TE,13,1,109,8.38,0,0,0,,18,,
27,1,0,0,4,2,0,0,0,0,0,Devin Smith,WR,5,1,113,22.60,0,0,0,,9,,
26,0,0,0,16,7,0,0,0,0,0,Nick Vannett,TE,17,0,166,9.76,0,0,0,,22,,
39,0,0,0,10,8,0,0,0,0,0,Ben Watson,TE,17,0,173,10.18,0,0,0,,24,,
26,0,1,1,6,0,0,0,0,0,0,T.J. Yeldon,RB,13,0,124,9.54,17,0,63,3.71,15,,
23,1,0,0,16,6,1,1,0,0,6,Andrew Beck,TE,9,1,90,10.00,1,0,3,3.00,12,,
29,0,0,0,7,1,38,23,2,1,225,Robert Griffin III,QB,0,0,0,,20,0,70,3.50,0,,
23,1,0,0,11,4,0,0,0,0,0,Hale Hentges,TE,8,1,103,12.88,0,0,0,,14,,
25,1,0,0,11,1,0,0,0,0,0,Robert Tonyan,TE,10,1,100,10.00,0,0,0,,15,,
26,1,0,0,5,0,0,0,0,0,0,Joshua Perkins ,TE,9,1,87,9.67,0,0,0,,13,,
27,1,0,0,16,10,0,0,0,0,0,MyCole Pruitt,TE,6,1,90,15.00,0,0,0,,8,,
,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0,15,0,0,0,0,0,0,Wendell Smallwood,RB,9,0,64,7.11,22,0,81,3.68,13,,
26,0,2,1,16,3,0,0,0,0,0,DeAndre Carter ,WR,11,0,162,14.73,0,0,0,,14,,
26,0,0,0,12,6,0,0,0,0,0,Seth Devalve,TE,12,0,140,11.67,0,0,0,,18,,
25,0,0,0,11,0,0,0,0,0,0,Trey Edmunds,RB,6,0,48,8.00,22,0,92,4.18,7,,
31,1,0,0,15,4,0,0,0,0,0,Virgil Green,TE,9,1,78,8.67,0,0,0,,13,,
24,2,0,0,1,1,0,0,0,0,0,Wes Hills,RB,2,0,1,0.50,10,2,21,2.10,2,,
25,0,0,0,16,11,0,0,0,0,0,Jesse James,TE,16,0,142,8.88,0,0,0,,27,,
27,1,0,0,16,5,0,0,0,0,0,Daniel Brown,TE,7,1,72,10.29,0,0,0,,11,,
23,0,0,0,8,2,0,0,0,0,0,Keelan Doss,WR,11,0,133,12.09,0,0,0,,14,,
23,1,0,0,4,1,0,0,0,0,0,Rico Gafford,WR,2,1,66,33.00,0,0,0,,2,,
26,0,0,0,16,3,0,0,0,0,0,Mack Hollins,WR,10,0,125,12.50,0,0,0,,23,,
22,1,1,1,6,1,0,0,0,0,0,Jesper Horsted,WR,8,1,87,10.88,0,0,0,,10,,
27,1,0,0,11,3,0,0,0,0,0,Tyler Kroft,TE,6,1,71,11.83,0,0,0,,14,,
37,0,1,0,2,2,62,35,1,0,351,Ben Roethlisberger,QB,0,0,0,,1,0,7,7.00,0,,
23,0,0,0,6,0,0,0,0,0,0,Kerrith Whyte Jr,RB,1,0,9,9.00,24,0,122,5.08,1,,
25,1,0,0,11,3,0,0,0,0,0,Ben Braunecker ,TE,6,1,59,9.83,0,0,0,,11,,
31,1,0,0,1,0,0,0,0,0,0,Antonio Brown ,WR,4,1,56,14.00,1,0,5,5.00,8,,
23,0,0,0,13,6,0,0,0,0,0,Deon Cain,WR,9,0,124,13.78,0,0,0,,20,,
25,1,0,0,10,1,0,0,0,0,0,Rashard Higgins,WR,4,1,55,13.75,0,0,0,,11,,
23,1,0,0,16,4,0,0,0,0,0,Alec Ingold,RB,6,1,44,7.33,10,0,17,1.70,6,,
28,1,0,0,10,0,0,0,0,0,0,Javorius Allen,RB,1,0,9,9.00,10,1,36,3.60,2,,
23,1,0,0,9,5,0,0,0,0,0,Stephen Carlson,TE,5,1,51,10.20,0,0,0,,7,,
25,1,0,0,16,7,0,0,0,0,0,Patrick Ricard,RB,8,1,47,5.88,0,0,0,,11,,
36,0,1,0,6,1,0,0,0,0,0,Darren Sproles ,RB,6,0,24,4.00,17,0,66,3.88,10,1,
24,0,0,0,6,1,0,0,0,0,0,Tommy Sweeney,TE,8,0,114,14.25,0,0,0,,13,,
26,0,1,0,8,0,0,0,0,0,0,Brandon Zylstra,WR,8,0,106,13.25,0,0,0,,12,,
25,0,1,1,11,0,0,0,0,0,0,Marcell Ateman,WR,5,0,116,23.20,0,0,0,,10,,
24,0,1,1,16,0,0,0,0,0,0,Braxton Berrios,WR,6,0,115,19.17,0,0,0,,13,,
24,1,0,0,11,5,0,0,0,0,0,Troy Fumagalli,TE,6,1,38,6.33,0,0,0,,9,,
22,1,3,1,14,1,0,0,0,0,0,Deonte Harris,WR,6,0,24,4.00,4,0,31,7.75,6,,
,,,,,,,,,,,,,,,,,,,,,,,
26,1,0,0,7,3,0,0,0,0,0,Andy Janovich,RB,5,0,42,8.40,1,1,1,1.00,5,,
27,1,3,0,3,0,0,0,0,0,0,T.J. Jones,WR,3,1,38,12.67,0,0,0,,4,,
